Transaction_date,Product,Price,Payment_Type,Name,City,Account_Created,Last_Login,Latitude,Longitude,Description
1/2/09 6:17,Product1,1200,Mastercard,carolina,Basildon,123,1/2/09 6:08,51.5,-1.1166667,Shopping Mall
1/2/09 4:53,Product1,1200,Visa,Betina,Parkville                   ,124,1/2/09 7:49,39.195,-94.68194,Restaurant
1/2/09 13:08,Product1,1200,Mastercard,Federica e Andrea,Astoria                     ,125,1/3/09 12:32,46.18806,-123.83,Cinema
1/3/09 14:44,Product1,1200,Visa,Gouya,Echuca,126,1/3/09 14:22,-36.1333333,144.75,Sports
1/4/09 12:56,Product2,3600,Visa,Gerd W ,Cahaba Heights              ,127,1/4/09 12:45,33.52056,-86.8025,car insurace
1/4/09 13:19,Product1,1200,Visa,LAURENCE,Mickleton                   ,128,1/4/09 13:04,39.79,-75.23806,home insurance
1/4/09 20:11,Product1,1200,Mastercard,Fleur,Peoria                      ,129,1/4/09 19:45,40.69361,-89.58889,life insurance
1/2/09 20:09,Product1,1200,Mastercard,adam,Martin                      ,130,1/4/09 20:01,36.34333,-88.85028,rent
1/4/09 13:17,Product1,1200,Mastercard,Renee Elisabeth,Tel Aviv,131,1/4/09 22:10,32.0666667,34.7666667,leasing
1/4/09 14:11,Product1,1200,Visa,Aidan,Chatou,132,1/5/09 1:17,48.8833333,2.15,leasing
1/5/09 2:42,Product1,1200,Diners,Stacy,New York                    ,133,1/5/09 4:59,40.71417,-74.00639,leasing
1/5/09 5:39,Product1,1200,Amex,Heidi,Eindhoven,134,1/5/09 8:15,51.45,5.4666667,leasing
1/2/09 9:16,Product1,1200,Mastercard,Sean ,Shavano Park                ,135,1/5/09 9:05,29.42389,-98.49333,leasing
1/5/09 10:08,Product1,1200,Visa,Georgia,Eagle                       ,136,1/5/09 10:05,43.69556,-116.35306,leasing
1/2/09 14:18,Product1,1200,Visa,Richard,Riverside                   ,137,1/5/09 11:01,40.03222,-74.95778,leasing
1/4/09 1:05,Product1,1200,Diners,Leanne,Julianstown,138,1/5/09 13:36,53.6772222,-6.3191667,leasing
1/5/09 11:37,Product1,1200,Visa,Janet,Ottawa,139,1/5/09 19:24,45.4166667,-75.7,leasing
1/6/09 5:02,Product1,1200,Diners,barbara,Hyderabad,140,1/6/09 7:52,17.3833333,78.4666667,leasing
1/6/09 7:45,Product2,3600,Visa,Sabine,London,141,1/6/09 9:17,51.52721,0.14559,leasing
1/2/09 7:35,Product1,1200,Diners,Hani,Salt Lake City              ,142,1/6/09 10:52,40.76083,-111.89028,leasing
1/6/09 12:56,Product1,1200,Visa,Jeremy,Manchester,143,1/6/09 13:31,53.5,-2.2166667,leasing
1/1/09 11:05,Product1,1200,Diners,Janis,Ballynora,144,1/7/09 1:52,51.8630556,-8.58,leasing
1/5/09 4:10,Product1,1200,Mastercard,Nicola,Roodepoort,145,1/7/09 5:13,-26.1666667,27.8666667,leasing
1/6/09 7:18,Product1,1200,Visa,asuman,Chula Vista                 ,146,1/7/09 7:08,32.64,-117.08333,leasing
1/2/09 1:11,Product1,1200,Mastercard,Lena,Kuopio,147,1/7/09 10:20,62.9,27.6833333,leasing
1/1/09 2:24,Product1,1200,Visa,Lisa,Sugar Land                  ,148,1/7/09 10:52,29.61944,-95.63472,leasing
1/7/09 8:08,Product1,1200,Diners,Bryan Kerrene,New York                    ,149,1/7/09 12:38,40.71417,-74.00639,leasing
1/2/09 2:57,Product1,1200,Visa,chris,London,150,1/7/09 13:14,51.52721,0.14559,leasing
1/1/09 20:21,Product1,1200,Visa,Maxine,Morton                      ,151,1/7/09 20:49,40.61278,-89.45917,leasing
1/8/09 0:42,Product1,1200,Visa,Family,Los Gatos                   ,152,1/8/09 3:39,37.22667,-121.97361,leasing
1/8/09 3:56,Product1,1200,Mastercard,Katherine,New York                    ,153,1/8/09 6:19,40.71417,-74.00639,leasing
1/8/09 3:16,Product1,1200,Mastercard,Linda,Miami                       ,154,1/8/09 6:34,25.77389,-80.19389,leasing
1/8/09 1:59,Product1,1200,Mastercard,SYLVIA,Vesenaz,155,1/8/09 7:20,46.2333333,6.2,leasing
1/3/09 9:03,Product1,1200,Diners,Sheila,Brooklyn                    ,156,1/8/09 10:38,40.65,-73.95,leasing
1/5/09 13:17,Product1,1200,Mastercard,Stephanie,Badhoevedorp,157,1/8/09 11:45,52.3333333,4.7833333,leasing
1/6/09 7:46,Product1,1200,Amex,Kelly,Reston                      ,158,1/8/09 12:40,38.96861,-77.34139,leasing
1/5/09 20:00,Product2,3600,Visa,James,Burpengary,159,1/8/09 17:58,-27.1666667,152.95,leasing
1/8/09 16:24,Product1,1200,Visa,jennifer,Phoenix                     ,160,1/8/09 18:30,33.44833,-112.07333,Cinema
1/9/09 6:39,Product1,1200,Mastercard,Anneli,Houston                     ,161,1/9/09 7:11,29.76306,-95.36306,Sports
1/6/09 22:19,Product2,3600,Amex,Ritz,Pittsfield                  ,162,1/9/09 10:05,43.77222,-72.81333,car insurace
1/6/09 23:00,Product2,3600,Amex,Sylvia,Pittsfield                  ,163,1/9/09 10:05,43.77222,-72.81333,home insurance
1/7/09 7:44,Product1,1200,Mastercard,Marie,Ball Ground                 ,164,1/9/09 10:52,34.33806,-84.37667,Cinema
1/3/09 13:24,Product1,1200,Visa,Mehmet Fatih,Helsingor,165,1/9/09 11:14,56.0333333,12.6166667,Sports
1/7/09 15:12,Product2,3600,Visa,Anabela,Flossmoor                   ,166,1/9/09 16:03,41.54278,-87.68472,car insurace
1/7/09 20:15,Product1,1200,Amex,Nicole,Houston                     ,167,1/9/09 20:02,29.76306,-95.36306,home insurance
1/3/09 10:11,Product2,3600,Visa,Christiane ,Delray Beach                ,168,1/10/09 9:46,26.46111,-80.07306,Cinema
1/9/09 15:58,Product1,1200,Mastercard,Sari,Newbury,169,1/10/09 13:16,51.4,-1.3166667,Sports
1/3/09 13:11,Product1,1200,Mastercard,simone,Kobenhavn,170,1/10/09 13:24,55.6666667,12.5833333,car insurace
1/10/09 12:57,Product1,1200,Amex,Vanessa,Sandy Springs               ,171,1/10/09 14:09,33.92417,-84.37861,home insurance
1/10/09 14:43,Product1,1200,Diners,Anupam,Kinsaley,172,1/10/09 14:37,53.4247222,-6.1758333,Cinema
1/10/09 12:05,Product1,1200,Visa,Karina,Fort Lauderdale             ,173,1/10/09 16:33,26.12194,-80.14361,Sports
1/6/09 1:20,Product1,1200,Mastercard,Frank,Melbourne,174,1/10/09 18:27,-37.8166667,144.9666667,car insurace
1/10/09 14:56,Product1,1200,Visa,Angela,Ankeny                      ,175,1/10/09 19:41,41.72972,-93.60556,home insurance
1/7/09 10:01,Product1,1200,Visa,Darren,Pittsboro                   ,176,1/10/09 20:02,35.72,-79.1775,Cinema
1/1/09 1:26,Product1,1200,Mastercard,Nikki,New Rochelle                ,177,1/10/09 21:31,40.91139,-73.78278,Sports
1/11/09 2:04,Product1,1200,Visa,chris,Gold Coast,178,1/11/09 2:11,-28,153.4333333,car insurace
1/11/09 14:17,Product1,1200,Visa,Stephanie,Brussels,179,1/11/09 13:39,50.8333333,4.3333333,home insurance
1/10/09 21:38,Product1,1200,Visa,Anushka,Maple Ridge District Municipality,180,1/11/09 19:32,49.25,-122.5,Cinema
1/7/09 6:18,Product1,1200,Mastercard,June ,Beachwood                   ,181,1/11/09 19:35,41.46444,-81.50889,Sports
1/4/09 8:39,Product2,3600,Diners,Baybars,Prince Albert,182,1/11/09 21:05,53.2,-105.75,car insurace
1/5/09 0:31,Product1,1200,Mastercard,Bonnie,Saltsjobaden,183,1/12/09 0:37,59.2833333,18.3,home insurance
1/2/09 6:07,Product1,1200,Visa,Cindy ,Kemble,184,1/12/09 2:24,51.6766667,-2.0180556,Cinema
1/12/09 3:25,Product1,1200,Mastercard,chrissy,W Lebanon                   ,185,1/12/09 3:22,43.64917,-72.31083,Sports
1/4/09 13:56,Product1,1200,Mastercard,Tamar,Headley,186,1/12/09 5:38,51.1166667,-0.8166667,car insurace
1/7/09 0:12,Product2,3600,Mastercard,Deirdre,Lausanne,187,1/12/09 6:55,46.5333333,6.6666667,home insurance
1/12/09 5:18,Product1,1200,Mastercard,Bernadett,Southampton,188,1/12/09 8:08,50.9,-1.4,Cinema
1/8/09 15:16,Product1,1200,Visa,Dottie,Woodsboro                   ,189,1/12/09 9:29,39.53306,-77.315,Sports
1/11/09 11:33,Product1,1200,Visa,Stefan,Stavanger,190,1/12/09 10:37,58.9666667,5.75,car insurace
1/7/09 20:22,Product1,1200,Visa,Gina,Red Deer,191,1/12/09 12:24,52.2666667,-113.8,home insurance
1/2/09 22:00,Product1,1200,Diners,Lynne,Memphis                     ,192,1/12/09 13:18,35.14944,-90.04889,Cinema
1/5/09 13:52,Product1,1200,Mastercard,Tammy,Morges,193,1/12/09 14:04,46.5166667,6.5,Sports
1/8/09 20:32,Product1,1200,Visa,Kim,Calgary,194,1/12/09 14:07,51.0833333,-114.0833333,car insurace
1/8/09 13:34,Product1,1200,Visa,Bruce,Belleville,195,1/12/09 18:31,44.1666667,-77.3833333,home insurance
1/11/09 13:08,Product1,1200,Visa,Rosa Maria,Cincinnati                  ,196,1/12/09 18:44,39.16194,-84.45694,Cinema
1/12/09 19:04,Product1,1200,Visa,Lydia,Comox,197,1/12/09 19:01,49.6833333,-124.9333333,Sports
1/12/09 13:41,Product1,1200,Visa,Eric,Gasperich,198,1/13/09 1:03,49.5855556,6.1230556,car insurace
1/11/09 10:38,Product1,1200,Mastercard,AnaPaula,Helens Bay,199,1/13/09 2:36,54.65,-5.7333333,home insurance
1/13/09 5:57,Product1,1200,Visa,Robin,Milan,200,1/13/09 5:55,45.4666667,9.2,Cinema
1/13/09 6:13,Product1,1200,Visa,Gitte,Staten Island               ,201,1/13/09 7:33,40.63667,-74.15917,Sports
1/8/09 13:14,Product1,1200,Visa,Dr. Claudia,Oslo,202,1/13/09 10:49,59.9166667,10.75,car insurace
1/2/09 11:41,Product1,1200,Visa,Crystal,Farmington,203,1/13/09 18:34,42.46444,-83.37639,home insurance
1/7/09 19:50,Product1,1200,Diners,Delphine,Santa Monica                ,204,1/13/09 20:17,34.01944,-118.49028,Cinema
1/1/09 20:28,Product1,1200,Visa,nathalie,Calgary,205,1/13/09 21:11,51.0833333,-114.0833333,Sports
1/3/09 15:22,Product1,1200,Mastercard,Lindi,Vancouver,206,1/13/09 23:02,49.25,-123.1333333,car insurace
